token	score	savings	qwen_tokens
Valideynləri	-11.787993431091309	5	Val ide yn l ÉĻ ri
verməyən	-11.785192489624023	5	ver m ÉĻ y ÉĻ n
rəqəmli	-11.784281730651855	5	r ÉĻ q ÉĻ m li
təsvirləri	-11.784069061279297	5	t ÉĻ sv irl ÉĻ ri
geyimlər	-11.783467292785645	5	ge y im l ÉĻ r
səslənir	-11.7832670211792	5	s ÉĻ sl ÉĻ n ir
evlənən	-11.781506538391113	5	ev l ÉĻ n ÉĻ n
müxalifətin	-11.780014991760254	5	mÃ¼ x al if ÉĻ tin
qələmə	-11.779706001281738	5	q ÉĻ l ÉĻ m ÉĻ
kifayətdir	-11.779273986816406	5	k if ay ÉĻ td ir
nəfərlə	-11.778712272644043	5	n ÉĻ f ÉĻ rl ÉĻ
Hərəkatının	-11.77762508392334	5	H ÉĻ r ÉĻ kat Ä±nÄ±n
səhifəsi	-11.775774002075195	5	s ÉĻ h if ÉĻ si
bənzərsiz	-11.7747220993042	5	b ÉĻ nz ÉĻ rs iz
ölçülməsi	-11.773758888244629	5	Ã¶l Ã§ Ã¼ lm ÉĻ si
gücləndirilmiş	-11.773294448852539	5	gÃ¼ cl ÉĻ nd ir ilmiÅŁ
universitetlər	-11.771753311157227	5	un ivers itet l ÉĻ r
müsabiqənin	-11.770554542541504	5	m Ã¼s ab iq ÉĻ nin
kampaniyasına	-11.768243789672852	5	k am pan iy as Ä±na
müqaviləni	-11.767853736877441	5	mÃ¼ q av il ÉĻ ni
Ələkbər	-11.767816543579102	5	Æı l ÉĻ kb ÉĻ r
məktəbini	-11.7672119140625	5	m ÉĻ kt ÉĻ b ini
sürücüləri	-11.767081260681152	5	s Ã¼rÃ¼ c Ã¼l ÉĻ ri
mühərrikin	-11.766034126281738	5	m Ã¼h ÉĻ r ri kin
Ermənistanı	-11.765732765197754	5	E rm ÉĻ n istan Ä±
düşdülər	-11.765266418457031	5	d Ã¼ÅŁ d Ã¼l ÉĻ r
bəstəkarı	-11.765071868896484	5	b ÉĻ st ÉĻ kar Ä±
mövqeyində	-11.7646484375	5	mÃ¶ v q ey ind ÉĻ
digərlərinin	-11.76349925994873	5	dig ÉĻ rl ÉĻ rin in
düşməyə	-11.76311206817627	5	d Ã¼ÅŁ m ÉĻ y ÉĻ
üzləşdiyi	-11.762831687927246	5	Ã¼ zl ÉĻ ÅŁ di yi
köçkünlərin	-11.761263847351074	5	kÃ¶ Ã§ kÃ¼ nl ÉĻ rin
saniyədə	-11.761086463928223	5	s ani y ÉĻ d ÉĻ
nizamnaməsi	-11.75996208190918	5	n iz am nam ÉĻ si
İngilislərin	-11.759917259216309	5	Ä° ng il isl ÉĻ rin
işləməsi	-11.759631156921387	5	iÅŁ l ÉĻ m ÉĻ si
təsdiqini	-11.759319305419922	5	t ÉĻ s di q ini
məqsədə	-11.759231567382812	5	m ÉĻ qs ÉĻ d ÉĻ
müsəlmanların	-11.756093978881836	5	m Ã¼s ÉĻ l man larÄ±n
hakimiyyətin	-11.7556791305542	5	h ak imi yy ÉĻ tin
müzakirəsi	-11.755221366882324	5	m Ã¼z ak ir ÉĻ si
təşkilatlarda	-11.753803253173828	5	t ÉĻ ÅŁ kil atl arda
bilmədiyini	-11.753750801086426	5	b ilm ÉĻ di y ini
bilmədən	-11.753639221191406	5	b ilm ÉĻ d ÉĻ n
işçilərinə	-11.753353118896484	5	iÅŁ Ã§ il ÉĻ rin ÉĻ
fakültəsinin	-11.753278732299805	5	f ak Ã¼lt ÉĻ sin in
qəzəbli	-11.75241470336914	5	q ÉĻ z ÉĻ b li
meşələrin	-11.750154495239258	5	me ÅŁ ÉĻ l ÉĻ rin
istədilər	-11.74909782409668	5	ist ÉĻ d il ÉĻ r
qətnaməsi	-11.747725486755371	5	q ÉĻ tn am ÉĻ si
düşərək	-11.746723175048828	5	d Ã¼ÅŁ ÉĻ r ÉĻ k
əsgərlərin	-11.746353149414062	5	ÉĻ sg ÉĻ rl ÉĻ rin
Həkimlər	-11.746232032775879	5	H ÉĻ kim l ÉĻ r
dövrədə	-11.744585990905762	5	d Ã¶ vr ÉĻ d ÉĻ
tapşırıqlar	-11.744343757629395	5	tap ÅŁ Ä±r Ä± ql ar
məsafəni	-11.743900299072266	5	m ÉĻ s af ÉĻ ni
şərəflə	-11.743748664855957	5	ÅŁ ÉĻ r ÉĻ fl ÉĻ
şərtlərini	-11.742819786071777	5	ÅŁ ÉĻ rtl ÉĻ r ini
problemlərə	-11.740127563476562	5	pro ble ml ÉĻ r ÉĻ
yönəltdi	-11.739485740661621	5	y Ã¶n ÉĻ l td i
ləşdirilə	-11.736900329589844	5	l ÉĻ ÅŁ dir il ÉĻ
gözəlliyi	-11.736477851867676	5	g Ã¶z ÉĻ ll iy i
qüvvəsinin	-11.736105918884277	5	q Ã¼ vv ÉĻ sin in
Əsasnamənin	-11.73551082611084	5	Æı s as nam ÉĻ nin
bilərdilər	-11.735461235046387	5	bil ÉĻ rd il ÉĻ r
Əliyevanın	-11.73510456085205	5	Æı li y ev an Ä±n
Allahverdiyev	-11.734919548034668	5	All ah ver di y ev
Hökumətinin	-11.734487533569336	5	H Ã¶k um ÉĻ tin in
mövqeyinə	-11.733583450317383	5	mÃ¶ v q ey in ÉĻ
ləməyə	-11.733473777770996	5	l ÉĻ m ÉĻ y ÉĻ
nəqliyyatın	-11.731979370117188	5	n ÉĻ qli yy at Ä±n
qazandırdı	-11.729281425476074	5	q az and Ä± rd Ä±
tərəfli	-11.72887897491455	5	t ÉĻ r ÉĻ f li
işlədiyini	-11.728211402893066	5	iÅŁ l ÉĻ di y ini
mövqeləri	-11.725211143493652	5	mÃ¶ v q el ÉĻ ri
kateqoriyası	-11.724246978759766	5	k ate q ori yas Ä±
zirvəsinə	-11.72397518157959	5	z ir v ÉĻ sin ÉĻ
qədərki	-11.723761558532715	5	q ÉĻ d ÉĻ r ki
səhvləri	-11.722318649291992	5	s ÉĻ h vl ÉĻ ri
sərhədinin	-11.721639633178711	5	s ÉĻ rh ÉĻ d inin
kampaniyasının	-11.72032642364502	5	k am pan iy as Ä±nÄ±n
muxtariyyət	-11.719104766845703	5	mux t ari yy ÉĻ t
jurnalistlər	-11.71833324432373	5	j urn alist l ÉĻ r
çəkildiyi	-11.716292381286621	5	Ã§ ÉĻ k ild iy i
bələdçi	-11.715761184692383	5	b ÉĻ l ÉĻ d Ã§i
Müttəfiq	-11.71408748626709	5	M Ã¼ tt ÉĻ fi q
cərrahiyyə	-11.71203899383545	5	c ÉĻ rr ahi yy ÉĻ
kənarındakı	-11.710538864135742	5	k ÉĻ nar Ä±nd ak Ä±
problemlərini	-11.708041191101074	5	pro ble ml ÉĻ r ini
gəlməsinə	-11.70772933959961	5	g ÉĻ lm ÉĻ sin ÉĻ
sökülməsi	-11.705658912658691	5	s Ã¶k Ã¼ lm ÉĻ si
törətməkdə	-11.705315589904785	5	tÃ¶r ÉĻ tm ÉĻ kd ÉĻ
məhsullarını	-11.703540802001953	5	m ÉĻ hs ull ar Ä±nÄ±
birləşən	-11.701064109802246	5	b irl ÉĻ ÅŁ ÉĻ n
məskunlaşan	-11.700675010681152	5	m ÉĻ sk un laÅŁ an
məhdudlaşır	-11.699437141418457	5	m ÉĻ hd ud laÅŁ Ä±r
təlimlər	-11.69919490814209	5	t ÉĻ lim l ÉĻ r
fərqləri	-11.698585510253906	5	f ÉĻ r ql ÉĻ ri
narahatlıqlar	-11.698478698730469	5	n arah at lÄ± ql ar
hörmətlə	-11.697809219360352	5	h Ã¶ rm ÉĻ tl ÉĻ
Sərəncam	-11.696883201599121	5	S ÉĻ r ÉĻ nc am
ailələrinə	-11.696293830871582	5	ail ÉĻ l ÉĻ rin ÉĻ
prezidentliyə	-11.694602966308594	5	pre z ident li y ÉĻ
düşünürlər	-11.69295883178711	5	d Ã¼ÅŁ Ã¼nÃ¼ rl ÉĻ r
mətnlər	-11.689990043640137	5	m ÉĻ tn l ÉĻ r
sərhəddə	-11.688908576965332	5	s ÉĻ rh ÉĻ dd ÉĻ
keyfiyyətinə	-11.68875503540039	5	key fi yy ÉĻ tin ÉĻ
hökumətini	-11.688648223876953	5	h Ã¶k um ÉĻ t ini
maneələr	-11.687045097351074	5	man e ÉĻ l ÉĻ r
məsafəli	-11.68422794342041	5	m ÉĻ s af ÉĻ li
prinsiplərinə	-11.683988571166992	5	pr ins ipl ÉĻ rin ÉĻ
namizədlərin	-11.681069374084473	5	nam iz ÉĻ dl ÉĻ rin
ekspertlər	-11.679778099060059	5	ek sp ert l ÉĻ r
törədilən	-11.67963695526123	5	tÃ¶r ÉĻ d il ÉĻ n
valideynlərin	-11.677865028381348	5	val ide yn l ÉĻ rin
Kilsəsində	-11.676641464233398	5	K ils ÉĻ s ind ÉĻ
müharibəsinə	-11.676477432250977	5	mÃ¼ har ib ÉĻ sin ÉĻ
kampaniyasında	-11.675215721130371	5	k am pan iy as Ä±nda
əməllər	-11.674139976501465	5	ÉĻ m ÉĻ ll ÉĻ r
təəssürat	-11.674099922180176	5	t ÉĻ ÉĻ ss Ã¼r at
etməliyik	-11.671849250793457	5	et m ÉĻ li y ik
konfiqurasiya	-11.671333312988281	5	kon fi q ur asi ya
uzaqlaşdı	-11.67090892791748	5	u za ql a ÅŁ dÄ±
cəngavər	-11.669943809509277	5	c ÉĻ ng av ÉĻ r
siyasətçisi	-11.664794921875	5	si yas ÉĻ t Ã§ isi
nMüğənni	-11.662513732910156	5	n M Ã¼ÄŁ ÉĻ nn i
abidələri	-11.660894393920898	5	ab id ÉĻ l ÉĻ ri
hədəfə	-11.659917831420898	5	h ÉĻ d ÉĻ f ÉĻ
müsəlmanlar	-11.659107208251953	5	m Ã¼s ÉĻ l man lar
rəsmlər	-11.65856647491455	5	r ÉĻ s ml ÉĻ r
yerlərdən	-11.65688705444336	5	yer l ÉĻ rd ÉĻ n
nəzarətə	-11.65439224243164	5	n ÉĻ zar ÉĻ t ÉĻ
araşdırmaları	-11.65407657623291	5	ara ÅŁ dÄ± rm alar Ä±
etməzdən	-11.653154373168945	5	et m ÉĻ zd ÉĻ n
evlənmək	-11.64968490600586	5	ev l ÉĻ nm ÉĻ k
tərəfdar	-11.647991180419922	5	t ÉĻ r ÉĻ fd ar
Nazirliyində	-11.647960662841797	5	Naz ir li y ind ÉĻ
məskunlaşdı	-11.64758586883545	5	m ÉĻ sk un laÅŁ dÄ±
etmişdilər	-11.646347999572754	5	et miÅŁ d il ÉĻ r
yəhudilər	-11.645487785339355	5	y ÉĻ hud il ÉĻ r
nailiyyət	-11.64427375793457	5	n ail i yy ÉĻ t
İsgəndər	-11.641557693481445	5	Ä° sg ÉĻ nd ÉĻ r
yeməklər	-11.640316009521484	5	y em ÉĻ kl ÉĻ r
Qırğızıstan	-11.63430404663086	5	Q Ä±r ÄŁÄ± z Ä± stan
zərurət	-11.632466316223145	5	z ÉĻ r ur ÉĻ t
bölmələr	-11.632107734680176	5	bÃ¶ lm ÉĻ l ÉĻ r
evlərində	-11.629851341247559	5	ev l ÉĻ r ind ÉĻ
nümayəndəlik	-11.629648208618164	5	nÃ¼ may ÉĻ nd ÉĻ lik
görüşləri	-11.628400802612305	5	g Ã¶r Ã¼ÅŁ l ÉĻ ri
heyvandarlıq	-11.628395080566406	5	hey v and ar lÄ± q
göyərtə	-11.628219604492188	5	g Ã¶ y ÉĻ rt ÉĻ
genişlənmiş	-11.62787914276123	5	gen iÅŁ l ÉĻ n miÅŁ
qüvvəsini	-11.627875328063965	5	q Ã¼ vv ÉĻ s ini
Gürcüstanda	-11.626818656921387	5	G Ã¼ rc Ã¼ stand a
yoldaşlıq	-11.625295639038086	5	y old a ÅŁ lÄ± q
dərslər	-11.625116348266602	5	d ÉĻ r sl ÉĻ r
Səsvermə	-11.624969482421875	5	S ÉĻ s ver m ÉĻ
seçicilər	-11.622262001037598	5	se Ã§ ic il ÉĻ r
gəliblər	-11.621810913085938	5	g ÉĻ lib l ÉĻ r
keçəcəyi	-11.620802879333496	5	ke Ã§ ÉĻ c ÉĻ yi
iqamətgahı	-11.62061595916748	5	iq am ÉĻ tg ah Ä±
bölgələri	-11.619603157043457	5	bÃ¶ lg ÉĻ l ÉĻ ri
tətbiqini	-11.618753433227539	5	t ÉĻ t bi q ini
xaricdən	-11.618610382080078	5	x ar ic d ÉĻ n
fərdlər	-11.616586685180664	5	f ÉĻ rd l ÉĻ r
məqaləsi	-11.615490913391113	5	m ÉĻ q al ÉĻ si
deyərək	-11.61464786529541	5	de y ÉĻ r ÉĻ k
xoşbəxtlik	-11.614192008972168	5	xo ÅŁ b ÉĻ xt lik
düzbucaqlı	-11.610773086547852	5	d Ã¼z bu ca ql Ä±
Azərbaycanlı	-11.607969284057617	5	Az ÉĻ rb ay can lÄ±
kateqoriyasında	-11.607867240905762	5	k ate q ori yas Ä±nda
səylərinə	-11.605145454406738	5	s ÉĻ yl ÉĻ rin ÉĻ
keçərkən	-11.603816032409668	5	ke Ã§ ÉĻ rk ÉĻ n
rənglər	-11.603734970092773	5	r ÉĻ ng l ÉĻ r
əməlləri	-11.603035926818848	5	ÉĻ m ÉĻ ll ÉĻ ri
köçkünlər	-11.602571487426758	5	kÃ¶ Ã§ kÃ¼ nl ÉĻ r
dövrdən	-11.601482391357422	5	d Ã¶ v rd ÉĻ n
həftəsonu	-11.59855842590332	5	h ÉĻ ft ÉĻ son u
inteqrasiyası	-11.598128318786621	5	int eq r asi yas Ä±
yenilənməsi	-11.596339225769043	5	yen il ÉĻ nm ÉĻ si
qəfildən	-11.596327781677246	5	q ÉĻ f ild ÉĻ n
onilliklər	-11.596185684204102	5	on ill ik l ÉĻ r
yaşayırdılar	-11.595662117004395	5	ya ÅŁ ayÄ± rd Ä± lar
təkbaşına	-11.594437599182129	5	t ÉĻ k ba ÅŁ Ä±na
nErmənistan	-11.593879699707031	5	n E rm ÉĻ n istan
düşünmək	-11.593762397766113	5	d Ã¼ÅŁ Ã¼n m ÉĻ k
rəngləri	-11.592687606811523	5	r ÉĻ ng l ÉĻ ri
qərarlaşıb	-11.592667579650879	5	q ÉĻ rar la ÅŁÄ± b
keçəcək	-11.591811180114746	5	ke Ã§ ÉĻ c ÉĻ k
tədqiqatçı	-11.591360092163086	5	t ÉĻ dq iq at Ã§Ä±
mənzillərin	-11.589339256286621	5	m ÉĻ nz ill ÉĻ rin
hövzəsi	-11.589191436767578	5	h Ã¶ v z ÉĻ si
göstərməsi	-11.588247299194336	5	g Ã¶st ÉĻ rm ÉĻ si
müştərilər	-11.587489128112793	5	mÃ¼ ÅŁt ÉĻ ril ÉĻ r
orqanizmdə	-11.586440086364746	5	or q an iz md ÉĻ
istifadəsini	-11.585809707641602	5	ist if ad ÉĻ s ini
xətlərinin	-11.582609176635742	5	x ÉĻ tl ÉĻ rin in
Şəbəkə	-11.581480026245117	5	Åŀ ÉĻ b ÉĻ k ÉĻ
məsafəsi	-11.581074714660645	5	m ÉĻ s af ÉĻ si
götürülən	-11.579642295837402	5	g Ã¶t Ã¼r Ã¼l ÉĻ n
tarixçilər	-11.578458786010742	5	tar ix Ã§ il ÉĻ r
Xərçəng	-11.577069282531738	5	X ÉĻ r Ã§ ÉĻ ng
Müharibənin	-11.575592041015625	5	M Ã¼ har ib ÉĻ nin
müqaviməti	-11.575547218322754	5	mÃ¼ q av im ÉĻ ti
ifadələri	-11.575154304504395	5	if ad ÉĻ l ÉĻ ri
hazırlaşır	-11.574553489685059	5	h az Ä±rl a ÅŁ Ä±r
öldürülməsi	-11.573163986206055	5	Ã¶ ld Ã¼rÃ¼ lm ÉĻ si
Təşkilatın	-11.567168235778809	5	T ÉĻ ÅŁ kil at Ä±n
dəhşət	-11.566670417785645	5	d ÉĻ h ÅŁ ÉĻ t
sağlamlığına	-11.563838005065918	5	sa ÄŁ l aml Ä±ÄŁÄ± na
qərbindəki	-11.562878608703613	5	q ÉĻ r bind ÉĻ ki
şərtlərinə	-11.562795639038086	5	ÅŁ ÉĻ rtl ÉĻ rin ÉĻ
yurisdiksiya	-11.55898380279541	5	y ur isd ik si ya
verilənlər	-11.55893611907959	5	ver il ÉĻ nl ÉĻ r
qiymətlər	-11.55725383758545	5	qi ym ÉĻ tl ÉĻ r
məbləğinin	-11.556509017944336	5	m ÉĻ bl ÉĻ ÄŁ inin
keyfiyyətini	-11.556411743164062	5	key fi yy ÉĻ t ini
Qəbələ	-11.554143905639648	5	Q ÉĻ b ÉĻ l ÉĻ
zərgərlik	-11.553175926208496	5	z ÉĻ rg ÉĻ r lik
yəhudilərin	-11.551804542541504	5	y ÉĻ hud il ÉĻ rin
rəhbərinin	-11.551567077636719	5	r ÉĻ hb ÉĻ rin in
daxilindəki	-11.551436424255371	5	d ax il ind ÉĻ ki
ölkəmizə	-11.549431800842285	5	Ã¶ lk ÉĻ m iz ÉĻ
verdikdən	-11.548776626586914	5	ver d ik d ÉĻ n
qazandıqdan	-11.539833068847656	5	q az and Ä± q dan
tərcüməsi	-11.539443016052246	5	t ÉĻ rc Ã¼m ÉĻ si
dərinlikdə	-11.53846263885498	5	d ÉĻ rin lik d ÉĻ
gəlməyə	-11.538412094116211	5	g ÉĻ lm ÉĻ y ÉĻ
vurğuladı	-11.537919998168945	5	v ur ÄŁ ul ad Ä±
mühacirət	-11.537409782409668	5	m Ã¼h ac ir ÉĻ t
Nizamnaməsi	-11.534276962280273	5	N iz am nam ÉĻ si
Ələkbərov	-11.533562660217285	5	Æı l ÉĻ kb ÉĻ rov
nəslindən	-11.531346321105957	5	n ÉĻ sl ind ÉĻ n
öyrənən	-11.53106689453125	5	Ã¶ yr ÉĻ n ÉĻ n
xəbərsiz	-11.528799057006836	5	x ÉĻ b ÉĻ rs iz
nəzarətinə	-11.525943756103516	5	n ÉĻ zar ÉĻ tin ÉĻ
bilməməsi	-11.524269104003906	5	b ilm ÉĻ m ÉĻ si
keçməsinə	-11.523959159851074	5	ke Ã§ m ÉĻ sin ÉĻ
şərqindəki	-11.523640632629395	5	ÅŁ ÉĻ rq ind ÉĻ ki
düşünürəm	-11.52316951751709	5	d Ã¼ÅŁ Ã¼n Ã¼r ÉĻ m
içərisinə	-11.52127456665039	5	i Ã§ ÉĻ ris in ÉĻ
filmlərində	-11.520430564880371	5	fil ml ÉĻ r ind ÉĻ
xidmətinə	-11.519301414489746	5	x id m ÉĻ tin ÉĻ
şərhlər	-11.519163131713867	5	ÅŁ ÉĻ r hl ÉĻ r
cinayətləri	-11.51684856414795	5	cin ay ÉĻ tl ÉĻ ri
dəstləri	-11.513856887817383	5	d ÉĻ st l ÉĻ ri
Hakimiyyəti	-11.513580322265625	5	H ak imi yy ÉĻ ti
Qəhrəmanı	-11.512894630432129	5	Q ÉĻ hr ÉĻ man Ä±
zirvəyə	-11.512552261352539	5	z ir v ÉĻ y ÉĻ
İrlandiyalı	-11.510308265686035	5	Ä° r land iy al Ä±
gözləmə	-11.510053634643555	5	g Ã¶ zl ÉĻ m ÉĻ
təsirlər	-11.508316040039062	5	t ÉĻ s irl ÉĻ r
keçirilirdi	-11.507132530212402	5	ke Ã§ ir il ird i
həvəsli	-11.50677490234375	5	h ÉĻ v ÉĻ s li
sənətinin	-11.504613876342773	5	s ÉĻ n ÉĻ tin in
Mühafizəsi	-11.503807067871094	5	M Ã¼h af iz ÉĻ si
dənizdə	-11.503610610961914	5	d ÉĻ n iz d ÉĻ
lövhələr	-11.50146484375	5	lÃ¶ vh ÉĻ l ÉĻ r
məktəbinə	-11.498581886291504	5	m ÉĻ kt ÉĻ bin ÉĻ
layihəsində	-11.497368812561035	5	lay ih ÉĻ s ind ÉĻ
tərcüməçi	-11.493582725524902	5	t ÉĻ rc Ã¼m ÉĻ Ã§i
dəyərinin	-11.490129470825195	5	d ÉĻ y ÉĻ rin in
tapşırılsın	-11.488430976867676	5	tap ÅŁ Ä±r Ä± ls Ä±n
kəndindən	-11.485135078430176	5	k ÉĻ nd ind ÉĻ n
keyfiyyətinin	-11.482069969177246	5	key fi yy ÉĻ tin in
cinayətlərin	-11.481407165527344	5	cin ay ÉĻ tl ÉĻ rin
görüşmək	-11.481222152709961	5	g Ã¶r Ã¼ÅŁ m ÉĻ k
ənənəsi	-11.480761528015137	5	ÉĻ n ÉĻ n ÉĻ si
dəstəsinin	-11.48034954071045	5	d ÉĻ st ÉĻ sin in
düşmənçilik	-11.480340003967285	5	d Ã¼ÅŁ m ÉĻ nÃ§ ilik
Tədqiqatları	-11.478483200073242	5	T ÉĻ dq iq at larÄ±
genişləndi	-11.476638793945312	5	gen iÅŁ l ÉĻ nd i
qulluqçusu	-11.475018501281738	5	q ull u q Ã§ usu
Mərkəzinə	-11.473011016845703	5	M ÉĻ rk ÉĻ zin ÉĻ
gəmilərinin	-11.472152709960938	5	g ÉĻ mil ÉĻ rin in
bəyannamə	-11.471728324890137	5	b ÉĻ y ann am ÉĻ
edilməməsi	-11.468159675598145	5	ed ilm ÉĻ m ÉĻ si
vərəqə	-11.467947006225586	5	v ÉĻ r ÉĻ q ÉĻ
konsertlər	-11.467352867126465	5	k ons ert l ÉĻ r
göstərdiyini	-11.466171264648438	5	g Ã¶st ÉĻ rd iy ini
vermədən	-11.465631484985352	5	ver m ÉĻ d ÉĻ n
xaricindəki	-11.464561462402344	5	x ar ic ind ÉĻ ki
qəbiristanlıq	-11.464324951171875	5	q ÉĻ bir istan lÄ± q
tənqidçisi	-11.463994026184082	5	t ÉĻ n qid Ã§ isi
əlamətlər	-11.46371078491211	5	ÉĻ lam ÉĻ tl ÉĻ r
tədqiqatların	-11.462214469909668	5	t ÉĻ dq iq at larÄ±n
Döyüşündə	-11.460636138916016	5	D Ã¶ y Ã¼ÅŁ Ã¼nd ÉĻ
mövcudluğunu	-11.460590362548828	5	mÃ¶ vc ud lu ÄŁ unu
yüksəlməsi	-11.460447311401367	5	yÃ¼ ks ÉĻ lm ÉĻ si
yerləşmə	-11.460433959960938	5	yer l ÉĻ ÅŁ m ÉĻ
sürücülər	-11.457418441772461	5	s Ã¼rÃ¼ c Ã¼l ÉĻ r
Sağlamlıq	-11.457266807556152	5	Sa ÄŁ l aml Ä± q
başlanğıcında	-11.455011367797852	5	ba ÅŁ lan ÄŁÄ± c Ä±nda
birləşdirilmiş	-11.454556465148926	5	b irl ÉĻ ÅŁ dir ilmiÅŁ
nəticəsidir	-11.453524589538574	5	n ÉĻ tic ÉĻ sid ir
əlaqəsini	-11.449304580688477	5	ÉĻ la q ÉĻ s ini
ölkəsində	-11.44729232788086	5	Ã¶ lk ÉĻ s ind ÉĻ
etməmək	-11.446016311645508	5	et m ÉĻ m ÉĻ k
sülhməramlı	-11.445847511291504	5	s Ã¼l hm ÉĻ ram lÄ±
cütlüyün	-11.444737434387207	5	c Ã¼ tl Ã¼ y Ã¼n
yüksələn	-11.443760871887207	5	yÃ¼ ks ÉĻ l ÉĻ n
Mingəçevir	-11.442221641540527	5	M ing ÉĻ Ã§ ev ir
konsentrasiyası	-11.441449165344238	5	k ons entr asi yas Ä±
ləşdirilmə	-11.436662673950195	5	l ÉĻ ÅŁ dir ilm ÉĻ
müalicəsində	-11.435763359069824	5	mÃ¼ alic ÉĻ s ind ÉĻ
dəyərini	-11.434904098510742	5	d ÉĻ y ÉĻ r ini
təcavüzkar	-11.43260669708252	5	t ÉĻ c av Ã¼z kar
edəcəyik	-11.431058883666992	5	ed ÉĻ c ÉĻ y ik
əsgərlər	-11.429924011230469	5	ÉĻ sg ÉĻ rl ÉĻ r
Rəqəmsal	-11.4287748336792	5	R ÉĻ q ÉĻ ms al
tərəfinin	-11.42547607421875	5	t ÉĻ r ÉĻ fin in
təsnifatı	-11.424886703491211	5	t ÉĻ sn if at Ä±
vəsiqəsi	-11.424662590026855	5	v ÉĻ si q ÉĻ si
fərqlidir	-11.423562049865723	5	f ÉĻ r ql id ir
keçirdilər	-11.422261238098145	5	ke Ã§ ird il ÉĻ r
müddətdən	-11.422147750854492	5	mÃ¼ dd ÉĻ td ÉĻ n
kəsişmə	-11.421651840209961	5	k ÉĻ si ÅŁ m ÉĻ
Mühəndislik	-11.421092987060547	5	M Ã¼h ÉĻ nd is lik
ifadələr	-11.420689582824707	5	if ad ÉĻ l ÉĻ r
verməkdən	-11.4187593460083	5	ver m ÉĻ kd ÉĻ n
mövsümdən	-11.417298316955566	5	mÃ¶ vs Ã¼ md ÉĻ n
fərziyyə	-11.414222717285156	5	f ÉĻ r zi yy ÉĻ
hökumətə	-11.412114143371582	5	h Ã¶k um ÉĻ t ÉĻ
Bölməsinin	-11.41105842590332	5	B Ã¶ lm ÉĻ sin in
təlimləri	-11.409441947937012	5	t ÉĻ lim l ÉĻ ri
ediləcəyi	-11.409327507019043	5	ed il ÉĻ c ÉĻ yi
hakimlər	-11.40930461883545	5	h ak im l ÉĻ r
Məmmədov	-11.402174949645996	5	M ÉĻ mm ÉĻ d ov
dərindən	-11.401249885559082	5	d ÉĻ r ind ÉĻ n
qabiliyyət	-11.400247573852539	5	q ab ili yy ÉĻ t
izləyən	-11.399578094482422	5	iz l ÉĻ y ÉĻ n
balıqçılıq	-11.396510124206543	5	bal Ä± q Ã§ Ä±lÄ± q
qeydiyyatına	-11.395919799804688	5	q ey di yy at Ä±na
keçirildiyi	-11.392923355102539	5	ke Ã§ ir ild iy i
hökumətinə	-11.392772674560547	5	h Ã¶k um ÉĻ tin ÉĻ
ödənilən	-11.39130973815918	5	Ã¶ d ÉĻ nil ÉĻ n
avtomobilləri	-11.39079475402832	5	av tom ob ill ÉĻ ri
nTürkiyənin	-11.389998435974121	5	n TÃ¼r ki y ÉĻ nin
Şöbəsinin	-11.388070106506348	5	Åŀ Ã¶ b ÉĻ sin in
İrlandiyanın	-11.385313987731934	5	Ä° r land i yan Ä±n
edilmədən	-11.384354591369629	5	ed ilm ÉĻ d ÉĻ n
dövlətimizin	-11.383505821228027	5	d Ã¶ vl ÉĻ tim izin
mübarizəyə	-11.382704734802246	5	mÃ¼ bar iz ÉĻ y ÉĻ
irəlilədi	-11.378657341003418	5	ir ÉĻ l il ÉĻ di
nəşriyyat	-11.37494945526123	5	n ÉĻ ÅŁ ri yy at
bəzədilmiş	-11.37477970123291	5	b ÉĻ z ÉĻ d ilmiÅŁ
Mühafizəkar	-11.37429428100586	5	M Ã¼h af iz ÉĻ kar
yaşadıqları	-11.373991012573242	5	ya ÅŁ ad Ä± ql arÄ±
sülaləsinin	-11.37303352355957	5	s Ã¼l al ÉĻ sin in
işlərində	-11.369525909423828	5	iÅŁ l ÉĻ r ind ÉĻ
genişmiqyaslı	-11.368876457214355	5	gen iÅŁ mi q yas lÄ±
düşərgəsi	-11.364615440368652	5	d Ã¼ÅŁ ÉĻ rg ÉĻ si
istəyirlər	-11.362390518188477	5	ist ÉĻ y irl ÉĻ r
etməməsi	-11.362006187438965	5	et m ÉĻ m ÉĻ si
qənaətinə	-11.361984252929688	5	q ÉĻ na ÉĻ tin ÉĻ
qarışıqlıq	-11.361344337463379	5	q ar Ä±ÅŁÄ± ql Ä± q
verəcəyini	-11.360504150390625	5	ver ÉĻ c ÉĻ y ini
istifadəsinin	-11.358760833740234	5	ist if ad ÉĻ sin in
hadisədən	-11.352864265441895	5	had is ÉĻ d ÉĻ n
Xəstəxana	-11.35148811340332	5	X ÉĻ st ÉĻ x ana
Müstəqillik	-11.350577354431152	5	M Ã¼st ÉĻ q ill ik
mülkiyyəti	-11.349620819091797	5	m Ã¼l ki yy ÉĻ ti
hörmətli	-11.347651481628418	5	h Ã¶ rm ÉĻ t li
səhnəyə	-11.34212875366211	5	s ÉĻ hn ÉĻ y ÉĻ
aşkarlanıb	-11.341708183288574	5	a ÅŁ kar lan Ä± b
göndərilib	-11.341507911682129	5	g Ã¶ nd ÉĻ r ilib
